name,shrt_rng,lng_rng,shrt_acc,lng_acc,str,ap,dmg,ammo,trts
- flamer,-,T,-,-,4,-1,1,5+,"Blaze, Combi, Template, Unstable"
- grenade launcher (frag),6’’,24’’,-1,-,3,-,1,*,"Blast (3’’), Knockback, Single Shot"
- melta,6’’,12’’,+1,-,8,-4,3,4+,"Combi, Melta, Scarce"
- needler,9’’,18’’,+1,-,-,-1,-,6+,"Combi, Scarce, Silent, Toxin"
- plasma gun,12’’,24’’,+2,-,5,-1,2,5+,"Combi, Rapid Fire (1), Scarce"
Flamer,-,T,-,-,4,-1,1,5+,"Blaze, Template"
(Escher Khimerix),-,T,-,-,-,-,-,-,"Gas, Template"
Grav-gun,9’’,18’’,+1,-,*,-1,2,5+,"Blast (3’’), Concussion, Graviton Pulse"
- frag grenades,6’’,24’’,-1,-,3,-,1,6+,"Blast (3’’), Knockback"
- choke grenades,6’’,24’’,-1,-,-,-,-,5+,"Blast (3’’), Gas, Limited"
- photon flash grenades,6’’,24’’,-,-,-,-,-,5+,"Blast (5’’), Flash"
- scare gas grenades,6’’,24’’,-1,-,-,-,-,6+,"Blast (3’’), Fear, Gas, Limited"
Meltagun,6’’,12’’,+1,-,8,-4,3,4+,"Melta, Scarce"
Needle Rifle,9’’,18’’,+2,-,-,-2,-,6+,"Scarce, Silent, Toxin"
“Nightshade” Chem-Thrower,-,T,-,-,-,-,-,5+,"Gas, Silent, Template"
- low,12’’,24’’,+2,-,5,-1,2,5+,"Rapid Fire (1), Scarce"
- maximal,12’’,24’’,+1,-,7,-2,3,5+,"Scarce, Unstable"
Rad gun,-,T,-,-,2,-2,1,4+,"Rad-phage, Template"
Web gun,-,T,-,-,5,-,-,5+,"Silent, Template, Web"
Harpoon launcher,6’’,18’’,+2,-,5,-3,1,5+,"Drag, Impale, Scarce"
Heavy bolter,18’’,36’’,+1,-,5,-2,2,6+,"Rapid Fire (2), Unwieldy"
- frag,15’’,30’’,-,-1,4,-,1,4+,"Blast (5’’), Knockback, Unwieldy"
Heavy flamer,-,T,-,-,5,-2,1,5+,"Blaze, Template, Unwieldy"
Heavy stubber,20’’,40’’,-,-1,4,-1,1,4+,"Rapid Fire (2), Unwieldy"
- rapid Fire,3’’,9’’,+2,-,4,-1,2,3+,"Rapid Fire (1), Rending"
- super-heated rivet,3’’,9’’,+2,-,6,-2,2,3+,"Blaze, Rending"
Lascannon,24’’,48’’,-,+1,10,-3,3,4+,"Knockback, Unwieldy"
- frag missile,24’’,48’’,+1,-,4,-1,1,6+,"Blast (5’’), Knockback, Unwieldy"
Multi-melta,12’’,24’’,+1,-,8,-4,3,4+,"Blast (3’’), Melta, Scarce, Unwieldy"
- low,18’’,36’’,+1,-,6,-1,2,5+,"Rapid Fire (1), Scarce, Unwieldy"
- maximal,18’’,36’’,+1,-,8,-2,3,5+,"Blast (3’’), Scarce, Unstable, Unwieldy"
Rad cannon,16’’,32’’,-,-1,2,-2,1,4+,"Blast (5’’), Rad-phage, Unwieldy"
- short wave,12’’,24’’,-,-1,6,-1,2,5+,"Knockback, Rapid Fire (1), Seismic, Unwieldy"
- long wave,12’’,24’’,-1,-,3,-,1,5+,"Knockback, Rapid Fire (2), Seismic, Unwieldy"
(Van Saar Arachni-rig),15’’,30’’,+1,-,4,-,1,4+,"Plentiful, Rapid Fire (3)"
(Cawdor Stig-Shambler),20’’,40’’,-,-1,4,-1,2,4+,"Rapid Fire (3), Unwieldy"
Blasting charges,-,Sx2,-,-,5,-1,2,5+,"Blast (5’’), Knockback, Grenade"
Choke gas grenades,-,Sx3,-,-,-,-,-,5+,"Blast (3’’), Gas, Grenade"
Demolitions charges,-,Sx2,-,-,6,-3,3,*,"Blast (5’’), Grenade, Single Shot"
Frag grenades,-,Sx3,-,-,3,-,1,4+,"Blast (3’’), Grenade, Knockback"
Incendiary charges,-,Sx3,-,-,3,-,1,5+,"Blast (5’’), Blaze, Grenade"
Krak grenades,-,Sx3,-,-1,6,-2,2,4+,"Demolitions, Grenade"
Melta bombs,-,Sx3,-,-1,8,-4,3,6+,"Demolitions, Grenade, Melta, Scarce"
Photon flash grenades,-,Sx3,-,-,-,-,-,5+,"Blast (5’’), Flash, Grenade"
Rad grenades,-,Sx3,-,-,2,-2,1,4+,"Blast (3’’), Grenade, Rad-phage"
Scare gas grenades,-,Sx3,-,-,-,-,-,6+,"Blast (3’’), Fear, Gas, Grenade"
Smoke grenades,-,Sx3,-,-,-,-,-,4+,"Smoke, Grenade"
Stun grenades,-,Sx3,-,-,2,-1,1,4+,"Concussion, Grenade"
Frag trap,-,-,-,-,3,-,1,-,"Blast (5’’), Knockback, Single Shot"
Gas Trap,-,-,-,-,-,-,-,-,"Blast (5’’), Gas, Single Shot"
Melta trap,-,-,-,-,8,-4,3,-,"Blast (5’’), Melta, Single Shot"
Arc welder (‘Jotunn’ Servitor),-,E,-,-,+2,-3,3,-,"Blaze, Melee"
Augmetic fist (‘Jotunn’ Servitor),-,E,-,-,+1,-1,2,-,"Knockback, Melee"
Axe,-,E,-,-,+1,-,1,-,"Disarm, Melee"
Beak & talons (Cawdor Sheen bird),-,E,-,-,S,-1,2,-,"Melee, Rending"
Bonesword,-,E,-,+1,S,-2,1,-,"Melee, Parry"
Brute cleaver,-,E,-,-,S,-1,1,-,"Disarm, Melee"
Cawdor polearm (Stig-shambler),E,2’’,-1,-,+1,-,1,-,"Melee, Unwieldy, Versatile"
Chain glaive,E,2’’,-1,-,+2,-2,2,-,"Melee, Unwieldy, Versatile"
Chainaxe,-,E,-,+1,+1,-1,1,-,"Disarm, Melee, Parry, Rending"
Chainsword,-,E,-,+1,S,-1,1,-,"Melee, Parry, Rending"
Digi laser,E,3’’,-,-,1,-,1,6+,"Digi, Melee, Versatile"
Ferocious jaws (Goliath Sumpkroc),-,E,-,-,S,-1,1,-,"Melee, Rending"
Fighting knife,-,E,-,-,S,-1,1,-,"Backstab, Melee"
Flail,-,E,-,+1,+1,-,1,-,"Entangle, Melee"
Flensing claw,-,E,-,+1,S,-,1,-,"Melee, Disarm"
Grab hook,E,2’’,-,-,S,-,1,-,"Melee, Disarm, Versatile"
- melee,-,E,-,-,S,-1,2,-,"Melee, Pulverise"
- ranged,6’’,12’’,+1,-,*,-1,2,5+,"Blast (3’’), Graviton Pulse,"
Heavy rock cutter,-,E,-,-,+4,-4,3,-,"Melee, Unwieldy"
Heavy rock drill,-,E,-,-,+2,-3,2,-,"Melee, Pulverise, Unwieldy"
Heavy rock saw,-,E,-,+1,+3,-3,2,-,"Melee, Rending, Unwieldy"
‘Hystrar’ pattern energy shield,-,E,-,-,S,-,1,-,"Energy Shield, Knockback, Melee"
Las cutter,E,2’’,+1,-,9,-3,2,6+,"Melee, Scarce, Versatile"
Lash whip,E,2’’,-,-,S,-,1,-,"Melee, Versatile"
Mutated fists & bone Spurs,E,2’’,-,-,+1,-2,2,-,"Knockback, Melee, Pulverise,"
Open fists (Goliath ‘Zerker),-,E,-,-,S,-1,1,-,"Knockback, Melee"
Power axe,-,E,-,-,+2,-2,1,-,"Disarm, Melee, Power"
Power hammer,-,E,-,-,+1,-1,2,-,"Melee, Power"
Power knife,-,E,-,-,+1,-2,1,-,"Backstab, Melee, Power"
Power maul,-,E,-,-,+2,-1,1,-,"Melee, Power"
Power pick,-,E,-,-,+1,-3,1,-,"Melee, Power, Pulverise"
Power sword,-,E,-,-,+1,-2,1,-,"Melee, Parry, Power"
Razor Sharp Talons (Escher,-,E,-,-,+1,-2,3,-,"Melee, Rending"
‘Renderizer’ serrated axe,-,E,-,-,+2,-1,2,-,"Melee, Pulverise, Unwieldy"
Savage Bite (Cyber-mastiff),-,E,-,-,S,-2,1,-,"Disarm, Melee"
Servitor combat weapon (Lugger),-,E,-,-,S,-1,1,-,"Knockback, Melee"
Servo arm (Van Saar Servo-suit),E,3’’,-,+1,S,-,1,-,"Melee, Versatile"
Shock baton,-,E,-,-,S,-,1,-,"Melee, Parry, Shock"
Shock stave,E,2’’,-,-,+1,-,1,-,"Melee, Shock, Versatile"
Shock tendrils,E,2’’,-,-,+1,-,1,-,"Melee, Shock, Versatile"
Shock whip,E,3’’,-1,-,+1,-,1,-,"Melee, Shock, Versatile"
Spud-jacker,-,E,-,-,+1,-,1,-,"Knockback, Melee"
Staff of office,-,E,-,-,S,-,1,-,"Melee, Parry"
Stiletto Knife,-,E,-,-,-,-,-,-,"Melee, Toxin"
Stiletto Sword,-,E,-,-,-,-1,-,-,"Melee, Parry, Toxin"
Sword,-,E,-,+1,S,-1,1,-,"Melee, Parry"
Talons (Khimerix and Phyrr Cat),-,E,-,-,S,-1,2,-,"Melee, Pulverise"
Thunder hammer,-,E,-,-,+1,-1,3,-,"Melee, Power, Shock"
Toxin injector claw,-,E,-,-,S,-1,1,-,"Melee, Toxin"
- ranged,4’’,8’’,-,-,6,-2,2,5+,"Melta, Scarce, Sidearm"
Two-handed axe,-,E,-,-1,+2,-,2,-,"Melee, Unwieldy"
Two-handed hammer,-,E,-,-1,+1,-,3,-,"Melee, Knockback, Unwieldy"
Venomous bite (Cyberachnid),-,E,-,-,-,-,-,-,"Melee, Toxin"
Web gauntlet,-,E,-,+1,3,-,-,-,"Backstab, Melee, Web"
